"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Population Served Count","Cities Served","Counties Served","# of Facilities","# of Violations","# of Site Visits","Primary Source","Zip Code","City Name"
"LA1017051","EVERGREEN ESTATES WATER SYSTEM","Region 6","Louisiana","Community water system","162","-","Caddo Parish","9","51","11","Ground water","76114","FORT WORTH"
"LA1127015","HUDSON GAARS MILL WATER SYSTEM","Region 6","Louisiana","Community water system","660","-","Winn Parish","9","158","14","Ground water purchased","71422","DODSON"
"LA1009016","AVOYELLES WARD ONE WATER SYSTEM  INC","Region 6","Louisiana","Community water system","3,450","-","Avoyelles Parish","12","8","14","Ground water","71331","EFFIE"
"LA1059009","SUMMERVILLE WATER SYSTEM","Region 6","Louisiana","Community water system","1,410","-","La Salle Parish","15","7","19","Ground water","71342","JENA"
"LA2103004","FONTAINEBLEAU STATE PARK","Region 6","Louisiana","Transient non-community system","1,000","-","St. Tammany Parish","4","10","5","Ground water","70448","MANDEVILLE"
"LA1097018","MAMOU ROAD WATER DISTRICT, INC","Region 6","Louisiana","Community water system","2,574","-","St. Landry Parish","10","23","22","Ground water","70535","EUNICE"
"LA2117030","BOURNES SEAFOOD","Region 6","Louisiana","Transient non-community system","25","-","Washington Parish","4","6","4","Ground water","70438","FRANKLINTON"
"LA1045004","CITY OF JEANERETTE WATER SYSTEM","Region 6","Louisiana","Community water system","6,324","-","Iberia Parish","31","17","64","Ground water","70544","JEANERETTE"
"LA1061003","DUBACH WATER SYSTEM","Region 6","Louisiana","Community water system","1,218","-","Lincoln Parish","9","46","24","Ground water","71235","DUBACH"
"LA1103022","MADISONVILLE WATER SUPPLY","Region 6","Louisiana","Community water system","650","-","St. Tammany Parish","7","3","11","Ground water","70447","MADISONVILLE"
"LA1097039","ST. LANDRY WATERWORKS DISTRICT NO. 5","Region 6","Louisiana","Community water system","495","-","St. Landry Parish","2","8","3","Ground water purchased","70750","KROTZ SPRINGS"
"LA1081005","HALFWAY-CARROLL WATER SYSTEM","Region 6","Louisiana","Community water system","498","-","Red River Parish","8","10","11","Ground water","71019","COUSHATTA"
"LA2117015","ENON ELEMENTARY SCHOOL","Region 6","Louisiana","Non-Transient non-community system","288","-","Washington Parish","6","2","8","Ground water","70438","FRANKLINTON"
"LA2033003","EXXONMOBIL CHEMICAL BATON ROUGE POLYMER","Region 6","Louisiana","Non-Transient non-community system","440","-","East Baton Rouge Parish","6","5","11","Ground water","70892","BATON ROUGE"
"LA1103141","BRIER LAKE UTILITIES INC","Region 6","Louisiana","Community water system","591","-","St. Tammany Parish","8","3","11","Ground water","70445","LACOMBE"
"LA1003008","SOUTH OAKDALE WATER SYSTEM","Region 6","Louisiana","Community water system","1,491","-","Allen Parish","8","4","12","Ground water","71463","OAKDALE"
"LA2103496","T RIVERS","Region 6","Louisiana","Transient non-community system","25","-","St. Tammany Parish","4","8","4","Ground water","70447","MADISONVILLE"
"LA1047028","TESI PLANTATION GARDENS","Region 6","Louisiana","Community water system","160","-","Iberville Parish","2","8","8","Ground water purchased","70898-4059","BATON ROUGE"
"LA2031009","INTERNATIONAL PAPER (MANSFIELD)","Region 6","Louisiana","Non-Transient non-community system","908","-","De Soto Parish","7","0","8","Ground water","71052","MANSFIELD"
"LA1049024","NEW HOPE ST CLAIR WATER SYSTEM","Region 6","Louisiana","Community water system","273","-","Jackson Parish","6","27","19","Ground water","71226","CHATHAM"
"LA1061007","GREATER WARD 1 WATERWORKS DISTRICT","Region 6","Louisiana","Community water system","3,333","-","Lincoln Parish","14","11","21","Ground water","71273","RUSTON"
"LA1017087","DIXIE GARDEN - KINGS HWY WATER SYSTEM","Region 6","Louisiana","Community water system","100","-","Caddo Parish","2","28","2","Surface water purchased","63131","ST. LOUIS"
"LA1017029","JONES ROLLING RIDGE WATER COMPANY","Region 6","Louisiana","Community water system","117","-","Caddo Parish","5","27","13","Ground water","63131","ST. LOUIS"
"LA1017042","WILDWOOD SOUTH WATER SYSTEM","Region 6","Louisiana","Community water system","549","-","Caddo Parish","10","48","14","Surface water purchased","63131","ST. LOUIS"
"LA1017075","DIXIE GARDEN WATER SUPPLY","Region 6","Louisiana","Community water system","570","-","Caddo Parish","4","62","11","Surface water purchased","63131","ST. LOUIS"
"LA1015009","EVANGELINE OAKS WATER SYSTEM","Region 6","Louisiana","Community water system","195","-","Bossier Parish","8","51","14","Ground water","63131","ST. LOUIS"
"LA2103357","NORTHMINSTER PRESBYTERIAN MONTESSORI","Region 6","Louisiana","Non-Transient non-community system","85","-","St. Tammany Parish","5","5","7","Ground water","70452","PEARL RIVER"
"LA1009005","TOWN OF COTTONPORT WATER SYSTEM","Region 6","Louisiana","Community water system","3,120","-","Avoyelles Parish","18","14","17","Ground water","71327","COTTONPORT"
"LA1097006","LEWISBURG BELLEVUE WATER SYSTEM","Region 6","Louisiana","Community water system","7,524","-","St. Landry Parish","12","6","19","Ground water","70570","OPELOUSAS"
"LA1101005","MORGAN CITY WATER SYSTEM","Region 6","Louisiana","Community water system","12,703","-","St. Mary Parish","14","15","30","Surface water","70381","MORGAN CITY"
"LA2117100","BO S STEAKHOUSE","Region 6","Louisiana","Transient non-community system","300","-","Washington Parish","4","8","6","Ground water","70438","FRANKLINTON"
"LA1003010","WEST ALLEN PARISH WATER SYSTEM","Region 6","Louisiana","Community water system","3,294","-","Allen Parish","10","19","29","Ground water","70658","REEVES"
